group	journal	year	work_id	title	term_type	term	occurrences
Literary / critical	Modernism/modernity	2015	https://openalex.org/W1138551259	The Making of Samuel Beckett’s “L’Innommable”/“The Unnamable” by Dirk Van Hulle and Shane Weller (review)	review_only	digital archive	1
Literary / critical	Modernism/modernity	2015	https://openalex.org/W1155581453	T. S. Eliot: From Undergraduate to Literary Lion	review_only	database	1
Literary / critical	Modernism/modernity	2014	https://openalex.org/W2022862307	Digital Modernism: Making It New in New Media by Jessica Pressman (review)	review_only	electronic text	1
Literary / critical	Modernism/modernity	2011	https://openalex.org/W2089603349	Transatlantic Print Culture, 1880–1940: Emerging Media, Emerging Modernisms (review)	review_only	digital archive	1
Literary / critical	Modernism/modernity	2016	https://openalex.org/W2405249906	Reading and the First World War: Readers, Texts, Archives ed. by Shafquat Towheed, Edmund King	review_only	database	2
Literary / critical	Modernism/modernity	2017	https://openalex.org/W2753459406	Laboratory, Library, Database: London's Avant-Garde Drama Societies and Ephemeral Repertoire	review_only	database	1
Literary / critical	Modernism/modernity	2023	https://openalex.org/W4392255987	Mosaic Fictions: Writing Identity in the Spanish Civil War by Emily Robbins Sharpe (review)	strong	digital humanities	1
Literary / critical	Journal of Modern Literature	2016	https://openalex.org/W2520738500	Digital Modernism as Method: Recent Publications in Digital Humanities	strong	digital humanities	3
Literary / critical	Journal of Modern Literature	2019	https://openalex.org/W3142927878	Mass Print, Clipping Bureaus, and the Pre-Digital Database: Reexamining Marianne Moore's Collage Poetics through the Archives	review_only	database	2
Literary / critical	Journal of Modern Literature	2020	https://openalex.org/W3042162375	Aesthetics and Politics Again?	strong	digital humanities	1
Literary / critical	Journal of Modern Literature	2006	https://openalex.org/W4244892504	Editor's Introduction	review_only	database	1
Literary / critical	Modern Philology	2018	https://openalex.org/W2789448101	<i>Street Literature of the Long Nineteenth Century: Producers, Sellers, Consumers</i>. Edited by David Atkinson and Steve Roud. Newcastle-upon-Tyne: Cambridge Scholars Publishing, 2017. Pp. v+373.	review_only	digitization	1
