work_key	canonical	htid_count	pd_count	record_count	matched_oclc	oclc_tried	sample_htids
OL38512663W	0	1	1	1	16385576	1	nnc1.1002354810
OL38512666W	0	0	0	0		1	
OL38513526W	0	0	0	0		1	
OL38513818W	0	0	0	0		1	
OL38516191W	0	1	1	1	4965250	1	mdp.39015024584388
OL38517119W	0	1	1	1	5684766	1	uiug.30112002533013
OL3852088W	0	0	0	0		1	
OL3852090W	0	0	0	0		1	
OL3852107W	0	1	0	1	297330	1	mdp.39015013516599
OL3852119W	0	0	0	0		2	
OL3852120W	0	1	0	1	1444836	5	uiug.30112010334560
OL38521781W	0	1	0	1	19695165	1	uc1.$b312568
OL38532366W	0	0	0	0		1	
OL38537734W	0	1	0	1	42413177	1	coo.31924027130388
OL38544079W	0	0	0	0		1	
OL38556024W	0	0	0	0		1	
OL3857281W	0	0	0	0		2	
OL3857283W	0	0	0	0		3	
OL38573114W	0	1	1	1	3296327	2	nyp.33433096858331
OL38573691W	0	1	1	1	8154301	2	uc1.32106001943817
OL38573734W	0	1	1	1	17280950	1	umn.31951002085561k
OL38577732W	0	1	0	1	2956229	1	uc1.$b699144
OL38578416W	0	1	0	1	16741923	3	mdp.39015008917349
OL38578463W	0	0	0	0		1	
OL38578614W	0	0	0	0		1	
OL38581109W	0	2	2	1	319677175	5	nnc1.cu58500472|uc1.$b794392
OL38581779W	0	6	0	1	3075465	1	uc1.$b398614|mdp.39015009944326|mdp.39015036032350
OL38582683W	0	2	0	1	8437496	1	mdp.39015038030469|uc1.$b163802
OL38582882W	0	0	0	0		1	
OL38584104W	0	1	0	1	2162800	1	mdp.39015027542599
OL38584242W	0	1	0	1	4759572	1	uiug.30112040760206
OL38585255W	0	1	0	1	327350	1	uc1.$b74575
OL3858649W	0	0	0	0		1	
OL38587340W	0	2	0	1	1698454	1	mdp.39015026815202|uc1.$b601966
OL38590215W	0	1	1	1	366428	1	inu.39000005911370
OL38590281W	0	2	0	1	3409787	1	uc1.$b605592|uc1.$b662552
OL38590634W	0	0	0	0		1	
