work_key	edition_count	ocaid_count	ocaid_first
/works/OL4104765W	164	4	metalmonster0000merr_v0a6
/works/OL100196W	164	19	genious0000theo
/works/OL276469W	163	10	whatmaisieknew0000jame_q7m8
/works/OL462123W	163	6	peterpanenlosjar0000barr
/works/OL485687W	163	3	youngforester0000zane
/works/OL893802W	162	17	leducationsentim0000flau
/works/OL62979W	162	15	sunalsorises00erne
/works/OL93833W	162	14	toine0000maup
/works/OL76573W	162	7	freefishers0000john_l2j2
/works/OL262383W	162	3	masterkeyanelec00corygoog
/works/OL4112855W	162	2	redthumbmark00free
/works/OL1172118W	162	1	lodger0000lown
/works/OL76594W	161	6	bwb_KP-974-780
/works/OL144798W	161	12	johnbarleycorn00318gut
/works/OL1833873W	160	13	lemysteredelacha0000lero
/works/OL12826W	160	7	youthbrightgmedu0000cath
/works/OL108735W	159	22	elcuentodepedrit00pott
/works/OL1865528W	159	13	belljarbyplathsy0000unse
/works/OL71037W	158	25	lionwitchwardroblew00lewi
/works/OL1449063W	158	20	isbn_9780451531919
/works/OL7984952W	157	4	beautifulstories0000edit
/works/OL15189381W	157	19	seventeenataley00tarkgoog
/works/OL1418108W	157	9	tarzanterrible00burruoft
/works/OL51145W	157	22	bwb_P9-ASY-400
/works/OL17512W	157	4	marieanepisodei00hagggoog
/works/OL36773907W	157	0	
/works/OL99534W	156	2	newtreasureseeke0000nesb
/works/OL1868679W	156	5	rafflesholmescob0000bang
/works/OL532451W	156	17	fourfeathers0000unse
/works/OL47670W	156	3	taleofhouseofwol0000morr
/works/OL76476W	155	5	tremendoustrifle0000gilb_z6g5
/works/OL1154817W	155	18	bwb_P7-CNP-967
/works/OL12823W	154	6	meineantoniaroma0000cath_e0m2
/works/OL17446W	154	2	heuheuormonster00hagg
/works/OL1064284W	154	4	arsenelupincontr0000lebl_h5y3
/works/OL573193W	154	25	hunger_gw_librivox
/works/OL24221W	154	16	1904antiquemonts0000unkn
/works/OL1794948W	153	4	moranofladyletty00norr
/works/OL503489W	153	8	indesertwilderne0000sien
/works/OL20123W	153	0	
/works/OL17439W	152	6	cetywayohiswhite00haggrich
/works/OL76579W	152	8	houseoffourwinds0000buch_r1p3
/works/OL11675949W	152	41	hongloumeng0002unse_y2k0
/works/OL7973284W	151	8	fantasticfables00bier
/works/OL51381W	151	23	poemstwofriends00dickrich
/works/OL810480W	151	1	greatwhitequeent00lequuoft
/works/OL1088837W	151	3	olivefairybook00langgoog
/works/OL15088382W	150	16	divinehumanother00tols
/works/OL20259087W	150	3	bwb_KS-791-532
/works/OL462141W	150	21	thelittleminister00barr
/works/OL1003017W	149	5	epitaphofsmallwi00mach
/works/OL503366W	149	17	delugeanhistori00siengoog
/works/OL2239400W	149	13	labasdownthere00huys
/works/OL51147W	149	27	arrowsmith0000sinc_f6a7
/works/OL35383W	149	13	threelives0000gert
/works/OL20155770W	147	5	blackbeauty0000sewe_o4b0
/works/OL575625W	147	7	rurrossumsuniver00apek_0
/works/OL38827W	147	10	cihm_79091
/works/OL1190079W	147	11	captive00prourich
/works/OL88827W	147	5	cu31924013613306
/works/OL118986W	146	18	germinal02zola
/works/OL4112850W	146	1	johnthorndykesca00raus
/works/OL38763W	146	18	victory000conr
/works/OL109233W	146	21	annafivetownsan01benngoog
/works/OL54861W	145	6	turmoilanovel00tarkgoog
/works/OL152211W	145	0	
/works/OL4322176W	145	11	dearenemy000webs
/works/OL1230631W	145	32	lacamuschute0000unse
/works/OL2319929W	144	5	bluelightsorhotw00ball
/works/OL1352107W	144	3	thenebulycoat00falk
/works/OL112798W	144	9	marrowoftraditio0000unse
/works/OL7966118W	143	20	pearlstei00stei
/works/OL485688W	143	3	bwb_T2-BBF-257
/works/OL20111W	143	13	lifeshandicapb00kipl
/works/OL2775770W	143	4	ohmoneymoneynove00port
/works/OL1972840W	143	15	elizabethhergerm00vona_0
/works/OL151798W	143	21	goodnightmoon00brow
/works/OL112796W	142	9	conjurewoman00unkngoog
/works/OL471509W	142	26	bwb_KP-012-211
/works/OL8127199W	142	0	
/works/OL1098085W	141	15	parzivalaknight00westgoog
/works/OL8883287W	141	3	barontrumpsmarve00lock_0
/works/OL267110W	141	14	kretserovasonata00tolsuoft
/works/OL29115502W	141	5	beastssuperbeast0000saki
/works/OL2344450W	140	3	cihm_75212
/works/OL914527W	140	10	lacelestinatragi0000roja_a9f4
/works/OL166923W	140	12	gambler0000fjod
/works/OL879164W	140	36	greenmansionsrom00hudsrich
/works/OL1794926W	140	7	enkvindesmagt00norrrich
/works/OL1794637W	139	5	throughrussiansn00hentiala
/works/OL905626W	139	31	perfumedgarden0000sirr_a9n1
/works/OL7542324W	139	2	dangerousdays0000mary
/works/OL8127247W	139	3	bwb_W9-DDH-562
/works/OL76650W	139	10	laughteranessay00berggoog
/works/OL93842W	138	20	belamiillus00maupgoog
/works/OL103134W	138	19	martianchronicle0000brad_b9f7
/works/OL2700647W	138	1	emptyhouseotherg00blacrich
/works/OL1836097W	138	19	beaugeste0000perc_t0k8
/works/OL54890W	137	10	penrodsam00tarkrich
