work_key	work_title	work_author	total_candidates	sampling_method	sampling_seed	sampled_n	include_substantive_n	include_mention_n	broad_visibility_include_n	exclude_non_scholarly_n	exclude_unrelated_n	unclear_n	error_n	broad_visibility_rate_among_decided	model	prompt_version	included_n	decided_n	scholarly_rate	estimated_scholarly_count	raw_rank	semantic_rank	rank_shift	abs_rank_shift
/works/OL82930W	Sartoris	William Faulkner	79	uniform_reservoir_sampling	20260713	40	22	3	25	4	8	3	0	0.676	gpt-5-mini	literary_visibility_v4_final_20260818	25	37	0.6756756756756757	53.37837837837838	102.0	96.0	-6.0	6.0
/works/OL1518264W	Sherlock Holmes	Doyle, Arthur Conan	645	uniform_reservoir_sampling	20260713	40	16	4	20	13	3	4	0	0.556	gpt-5-mini	literary_visibility_v4_final_20260818	20	36	0.5555555555555556	358.33333333333337	22.0	25.0	3.0	3.0
/works/OL100203W	Sister Carrie	Theodore Dreiser	254	uniform_reservoir_sampling	20260713	40	26	1	27	10	1	2	0	0.711	gpt-5-mini	literary_visibility_v4_final_20260818	27	38	0.7105263157894737	180.4736842105263	58.0	52.0	-6.0	6.0
/works/OL81295W	Sons and Lovers	Lawrence, D. H.	299	uniform_reservoir_sampling	20260713	40	33	1	34	2	3	1	0	0.872	gpt-5-mini	literary_visibility_v4_final_20260818	34	39	0.8717948717948718	260.6666666666667	46.0	38.0	-8.0	8.0
/works/OL44014215W	Strange case of Dr. Jekyll and Mr. Hyde	Robert Louis Stevenson	196	uniform_reservoir_sampling	20260713	40	28	2	30	5	3	2	0	0.789	gpt-5-mini	literary_visibility_v4_final_20260818	30	38	0.7894736842105263	154.73684210526315	67.0	60.0	-7.0	7.0
/works/OL98586W	Summer	Edith Wharton	131	uniform_reservoir_sampling	20260713	40	17	0	17	10	12	1	0	0.436	gpt-5-mini	literary_visibility_v4_final_20260818	17	39	0.4358974358974359	57.1025641025641	83.5	93.0	9.5	9.5
/works/OL468485W	Tender is the Night	F. Scott Fitzgerald	185	uniform_reservoir_sampling	20260713	40	29	2	31	7	1	1	0	0.795	gpt-5-mini	literary_visibility_v4_final_20260818	31	39	0.7948717948717948	147.05128205128204	69.0	64.0	-5.0	5.0
/works/OL40434746W	Tess of the D'Urbervilles	Thomas Hardy	504	uniform_reservoir_sampling	20260713	40	34	0	34	4	0	2	0	0.895	gpt-5-mini	literary_visibility_v4_final_20260818	34	38	0.8947368421052632	450.9473684210527	26.5	22.0	-4.5	4.5
/works/OL98491W	The Age of Innocence	Edith Wharton	174	uniform_reservoir_sampling	20260713	40	31	2	33	4	2	1	0	0.846	gpt-5-mini	literary_visibility_v4_final_20260818	33	39	0.8461538461538461	147.23076923076923	73.0	63.0	-10.0	10.0
/works/OL276470W	The Ambassadors	James, Henry	207	uniform_reservoir_sampling	20260713	40	29	0	29	8	1	2	0	0.763	gpt-5-mini	literary_visibility_v4_final_20260818	29	38	0.7631578947368421	157.97368421052633	65.0	58.0	-7.0	7.0
/works/OL1067116W	The American	Howard Fast	2809	uniform_reservoir_sampling	20260713	40	0	0	0	11	29	0	0	0.0	gpt-5-mini	literary_visibility_v4_final_20260818	0	40	0.0	0.0	7.0	135.0	128.0	128.0
/works/OL7710777W	The American	Dillon, Mary	179	uniform_reservoir_sampling	20260713	40	0	0	0	12	28	0	0	0.0	gpt-5-mini	literary_visibility_v4_final_20260818	0	40	0.0	0.0	72.0	135.0	63.0	63.0
/works/OL37277W	The Autobiography of Alice B. Toklas	Gertrude Stein	70	uniform_reservoir_sampling	20260713	40	23	3	26	9	2	3	0	0.703	gpt-5-mini	literary_visibility_v4_final_20260818	26	37	0.7027027027027027	49.18918918918919	108.5	97.0	-11.5	11.5
/works/OL65430W	The Awakening	Kate Chopin	411	uniform_reservoir_sampling	20260713	40	33	1	34	3	2	1	0	0.872	gpt-5-mini	literary_visibility_v4_final_20260818	34	39	0.8717948717948718	358.3076923076923	34.0	26.0	-8.0	8.0
/works/OL468362W	The Beautiful and Damned	F. Scott Fitzgerald	52	uniform_reservoir_sampling	20260713	40	25	2	27	7	3	3	0	0.73	gpt-5-mini	literary_visibility_v4_final_20260818	27	37	0.7297297297297297	37.94594594594594	118.0	102.0	-16.0	16.0
/works/OL14942956W	The Call of the Wild	Jack London	143	uniform_reservoir_sampling	20260713	40	26	1	27	9	1	3	0	0.73	gpt-5-mini	literary_visibility_v4_final_20260818	27	37	0.7297297297297297	104.35135135135135	81.0	74.0	-7.0	7.0
/works/OL98585W	The Custom of the Country	Edith Wharton	65	uniform_reservoir_sampling	20260713	40	30	2	32	2	1	5	0	0.914	gpt-5-mini	literary_visibility_v4_final_20260818	32	35	0.9142857142857144	59.42857142857142	111.0	90.0	-21.0	21.0
/works/OL100237W	The Financier	Theodore Dreiser	35	uniform_reservoir_sampling	20260713	35	25	1	26	5	3	1	0	0.765	gpt-5-mini	literary_visibility_v4_final_20260818	26	34	0.7647058823529411	26.76470588235294	132.0	119.0	-13.0	13.0
/works/OL509889W	The Good Soldier	Ford Madox Ford	125	uniform_reservoir_sampling	20260713	40	21	3	24	13	2	1	0	0.615	gpt-5-mini	literary_visibility_v4_final_20260818	24	39	0.6153846153846154	76.92307692307693	85.0	82.0	-3.0	3.0
/works/OL35353208W	The Great Gatsby	F. Scott Fitzgerald	858	uniform_reservoir_sampling	20260713	40	32	1	33	6	0	1	0	0.846	gpt-5-mini	literary_visibility_v4_final_20260818	33	39	0.8461538461538461	726.0	14.0	12.0	-2.0	2.0
/works/OL4315764W	The Heavenly Twins	Sarah Grand	32	uniform_reservoir_sampling	20260713	32	18	0	18	9	2	3	0	0.621	gpt-5-mini	literary_visibility_v4_final_20260818	18	29	0.6206896551724138	19.86206896551724	135.0	125.0	-10.0	10.0
/works/OL42236259W	The house of mirth	Edith Wharton	218	uniform_reservoir_sampling	20260713	40	29	1	30	5	4	1	0	0.769	gpt-5-mini	literary_visibility_v4_final_20260818	30	39	0.7692307692307693	167.6923076923077	63.5	56.0	-7.5	7.5
/works/OL51141W	The job	Sinclair Lewis	161	uniform_reservoir_sampling	20260713	40	0	0	0	16	24	0	0	0.0	gpt-5-mini	literary_visibility_v4_final_20260818	0	40	0.0	0.0	74.0	135.0	61.0	61.0
