oa_id	title	year	ref_count	referenced_work_ids
W1975710169	If You're So Smart, Why Are You under Surveillance? Universities, Neoliberalism, and New Public Management	2012	28	W1491290477|W1605547715|W1945197361|W1972341694|W1975326461|W2018791728|W2022007721|W2039052204|W2039289618|W2040520373|W2058824473|W2079909023|W2103899250|W2134613219|W2143956108|W2163362901|W2742477100|W4213231316|W4234756021|W4238474647|W4239233397|W4239968546|W4241515867|W4250958956|W4254898387|W4255288436|W4255316589|W4313026744
W4237372231	Front Matter	1983	0	
W4200157363	Joan Wallach Scott <i>On the Judgment of History</i>. New York: Columbia University Press, 2020. 114 pp.	2021	0	
W2094810137	On Bruns, on Cavell	1991	0	
W4233702490	Books of Critical Interest	2008	75	W16187768|W125862023|W244404088|W392304688|W563072394|W602738564|W613210462|W619952135|W637006793|W640582937|W655290242|W656317455|W1520365685|W1529371064|W1545636362|W1547718970|W1552197581|W1608400259|W1758378126|W1967406350|W2070835032|W2122251503|W2477715222|W2494619700|W2501651531|W2618818249|W4205364727|W4205970478|W4206254914|W4206543705|W4210621030|W4212973620|W4213058408|W4213273311|W4230016530|W4230063022|W4230530347|W4231959257|W4233219303|W4237051594|W4237422051|W4238271291|W4238653572|W4238727644|W4239070928|W4241047861|W4241994348|W4242936237|W4243496538|W4243938484|W4244244679|W4244976664|W4246038341|W4246318207|W4246414018|W4246707826|W4246995564|W4247980159|W4249895427|W4251264403|W4253543901|W4253545143|W4253694606|W4256013794|W4256692340|W4388353931|W6616383749|W6619697239|W6621267881|W6636403192|W6638823344|W6652214320|W6754978290|W6991952080|W7065732509
W3114337468	Is This a Dress Rehearsal?	2020	0	
W2034093394	Sovereign Performatives in the Contemporary Scene of Utterance	1997	0	
W2045674780	Answering as Authoring: Mikhail Bakhtin's Trans-Linguistics	1983	0	
W4233048366		1995	0	
W2756413674	<i>Critical Response IV</i> Strange Quarry	2017	0	
W4238148615		1983	0	
W4235331507	Front Matter	1984	0	
W4247951848		2008	0	
W2035615310	Economentality: How the Future Entered Government	2014	14	W565180888|W2018791185|W2021037847|W2022786085|W2041759386|W2166438336|W2201657952|W2476765699|W2765474625|W4236486412|W4244963732|W4252961359|W4298170126|W6826176134
W4251157499		1983	0	
W2972283617	Universality in Splinters	2019	3	W330583564|W4244569308|W4247376930
W4251473696	Back Matter	1996	0	
W2075810057	Canons and Values in the Visual Arts: A Correspondence	1976	0	
W4240233207	Books of Critical Interest	2000	0	
W2092132664	Liberalism and the Algerian War: The Case of Jacques Derrida	2009	4	W2001635652|W4206980607|W4254632981|W6746676396
W4234631748	The Lateral Dance: The Deconstructive Criticism of J. Hillis Miller	1980	0	
W2058812233	Americanized Comic Braggarts	1977	1	W1563535156
W2057342348	Black Writing, White Reading: Race and the Politics of Feminist Interpretation	1993	0	
W2055994208	The Legal Fictions of Herman Melville and Lemuel Shaw	1984	3	W619792077|W2322651796|W2333224516
W2516933170	Eli Friedlander, <i>Expressions of Judgment: An Essay on Kant’s Aesthetics</i>. Cambridge, Mass.: Harvard University Press, 2015. 144 pp.	2015	0	
W4239070231	Editorial Note	2005	0	
W4233834706	Back Matter	1984	0	
W2082414643	Two Approaches in the Sociology of Literature	1988	0	
W2038251950	The Ideology of Canon-Formation: T. S. Eliot and Cleanth Brooks	1983	1	W1986673444
W3037442807	“The Gene Didn’t Get the Memo”: Realigning Disciplines and Remaking Illness in Genomic Medicine	2020	37	W1575824364|W1595144819|W1704685837|W1861196653|W1955152225|W1965573357|W1970848271|W1982889769|W1995809507|W2028579026|W2053904865|W2056703831|W2060555434|W2063456006|W2080287250|W2080857290|W2082665009|W2096331492|W2099235089|W2100239334|W2106915081|W2107078676|W2107886207|W2108201553|W2114487880|W2146738944|W2159164525|W2273251241|W2334930053|W2618368491|W2729709464|W2759648068|W2767026933|W4236422676|W4238055217|W4246017678|W4252247883
W4230692168		1995	0	
W4234062895	Editorial Notes	1975	0	
W1993042570	"Ezra Pound: ""Insanity,"" ""Treason,"" and Care"	1987	0	
W2037193959	Signs Taken for Wonders: Questions of Ambivalence and Authority under a Tree outside Delhi, May 1817	1985	8	W616279983|W1532497712|W1571651207|W1579395641|W1679875037|W2025048683|W2788007549|W4285719527
W2033195294	Myths of Violence in American Popular Culture	1975	0	
W1994094416	The Death of Gun Control: An American Tragedy	2014	7	W1918410531|W1985876015|W2051271151|W2316887684|W4256160672|W4300841285|W6821040096
W2060129287	Etiquette, Interdependence, and Sociability in Seventeenth-Century Science	1996	0	
W2018661096	Automat, Automatic, Automatism: Rosalind Krauss and Stanley Cavell on Photography and the Photographically Dependent Arts	2012	7	W1581490001|W2056930218|W2098989404|W2333749689|W2801472170|W6633539565|W6825774310
W4233238024	Books of Critical Interest	2001	0	
W4241585097	Enlightenment Calculations	1994	0	
W3151277900	Double-Blind: The Torture Case	2007	0	
W1971006499	The Claims of the Dead: History, Haunted Property, and the Law	2002	4	W2084954094|W2326417249|W2897840325|W2978527163
W4229941464	Symbolic Terror	2002	0	
W2069390766	Woman Skin Deep: Feminism and the Postcolonial Condition	1992	0	
W2041770352	Rorty's Circumvention of Derrida	1986	0	
W4236549558	Masthead	2018	0	
W2084484312	Patriarchy, Lentricchia, and Male Feminization	1988	0	
W2006481172	“We Need a Popular Discipline”: Contemporary Politics and the Crisis of the Negative	2008	0	
W3037802411	<i>Critical Response I</i>. Prolegomena to a Theory of Data: On the Most Recent Confrontation of Data and Literature	2020	6	W1995875735|W2025146585|W2084341220|W2314931272|W2915547389|W4241511741
W1988448612	Reply to Richard Berrong	1985	1	W2124315738
W2142858322	Christo’s<i>Gates</i>and Gilo’s Wall	2006	1	W3165796856
W3115007830	The Colonized Semites and the Infectious Disease: Theorizing and Narrativizing Anti-Semitism in the Levant, 1870–1914	2020	29	W1967189461|W1974165638|W1999185763|W2003514878|W2047226374|W2049008348|W2065483163|W2071824777|W2083965350|W2084814207|W2110058636|W2244355047|W2316010959|W2330976170|W2334559543|W2481376368|W2797452009|W2895249265|W2903317927|W3002491620|W3146814663|W3148502743|W4210481455|W4211003589|W4230129663|W4239009431|W4252587892|W4253740283|W4254252941
W2006191023	Culture and Skepticism: A Response to Michael Fischer	1979	0	
W4247812735	Books of Critical Interest	1990	0	
W1977976862	"""Draupadi"" by Mahasveta Devi"	1981	0	
W4236279979	Front Matter	1979	0	
W4234470248	On Hunting	2017	20	W1660984842|W1999850907|W2001403423|W2018859298|W2031628365|W2115251359|W2131718015|W2144469984|W2517649575|W3216556714|W4206037106|W4206675716|W4232465712|W4236600405|W4238528016|W4239293599|W4241292492|W4242761397|W4255128583|W4408268754
W1963656411	Report from Morocco	2012	1	W2916864012
W2066451382	Contemporary Art and Contemporaneity	2006	2	W2017692646|W2085393153
W1981490993	The Practice of Everyday (Media) Life: From Mass Consumption to Mass Cultural Production?	2008	0	
W4239207554	Machinic Vision	1999	0	
W4244476316	Books of Critical Interest	2000	0	
W2905181228	Rabbi Joseph B. Soloveitchik and Western Culture: An Enigmatic Dialogue	2018	9	W1998607642|W2003152070|W2057464695|W2059896842|W2324621621|W2486672048|W2599571434|W2805368902|W4233402776
W2808120614	Darren Hudson Hick. <i>Artistic License: The Philosophical Problems of Copyright and Appropriation</i>. Chicago: University of Chicago Press, 2017. 240 pp.	2018	0	
W4242891049	Back Matter	1983	0	
W4246731979	Recent Books by Our Contributors	1980	0	
W1988992021	Another Literary Darwinism	2014	25	W657363873|W1709853772|W2001505657|W2009430854|W2010674466|W2015019891|W2047214198|W2050722773|W2072107487|W2094912321|W2112524825|W2130278116|W2130732396|W2163709469|W2190373741|W2326441453|W2478516365|W2503554300|W2798204532|W3022256609|W4210369598|W4243074769|W4243601689|W4244703829|W4248090905
W4231922952	Editor's Note	1987	0	
