work_id	title	author_name_pop	first_publish_year	jstor_mention_count	via_creators	via_jtitle	last_name
/works/OL468451W	The last tycoon	F. Scott Fitzgerald	1941	7	0	7	fitzgerald
/works/OL106077W	The heart of the matter	Greene, Graham	1948	7	1	6	greene
/works/OL52114W	The War of the Worlds	H. G. Wells	1898	7	2	5	wells
/works/OL905801W	Madama Butterfly	Giacomo Puccini	1904	7	3	4	puccini
/works/OL81290W	Aaron's Rod	Lawrence, D. H.	1922	7	4	3	lawrence
/works/OL1858636W	Voyage in the Dark	Jean Rhys	1934	7	0	7	rhys
/works/OL893758W	Novembre	Flaubert, Gustave	1932	7	1	6	flaubert
/works/OL42471247W	Daisy Miller	James, Henry	1909	7	0	7	james
/works/OL15437W	Lilith	MacDonald, George	1895	7	0	7	macdonald
/works/OL630874W	Si le grain ne meurt	André Gide	1924	7	1	6	gide
/works/OL16034331W	Remembrance of things past	Proust, Marcel	1934	6	1	5	proust
/works/OL32055289W	Old Mortality	Scott, Walter	1893	6	0	6	scott
/works/OL2338161W	Between the lines	King, Charles	1888	6	0	6	king
/works/OL19823W	Home to Harlem	McKay, Claude	1928	6	0	6	mckay
/works/OL276428W	The lesson of the master	James, Henry	1892	6	1	5	james
/works/OL44530530W	Ivanhoe	Scott, Walter	1895	6	0	6	scott
/works/OL30457295W	Demian	Hermann Hesse	1919	6	2	4	hesse
/works/OL14864448W	The member of the wedding	Carson McCullers	1946	6	0	6	mccullers
/works/OL38750222W	The longest journey	E. M. Forster	1947	6	0	6	forster
/works/OL102726W	The Works of Herman Melville	Herman Melville	1922	6	1	5	melville
/works/OL6711494W	Stickeen	John Reid Muir	1909	6	0	6	muir
/works/OL69117W	The shadow of a dream	William Dean Howells	1890	6	1	5	howells
/works/OL5625467W	Legend	Dane, Clemence.	1919	6	4	2	dane
/works/OL93840W	Une vie	Guy de Maupassant	1883	6	1	5	maupassant
/works/OL1340949W	On ne badine pas avec l'amour	Alfred de Musset	1937	6	4	2	musset
/works/OL1193329W	Concluding	Green, Henry	1948	6	2	4	green
/works/OL10581665W	Simplicius Simplicissimus	Hans Jakob Christoph von Grimmelshausen	1901	6	3	3	grimmelshausen
/works/OL276379W	The spoils of Poynton	James, Henry	1896	6	1	5	james
/works/OL1339723W	The roaring girl	Middleton, Thomas	1914	6	2	4	middleton
/works/OL68141W	Jean-Christophe	Rolland, Romain	1900	6	3	3	rolland
/works/OL22140492W	Attention	Sylvia Cooper	1938	6	3	3	cooper
/works/OL43659W	Marius the Epicurean	Walter Pater	1885	6	0	6	pater
/works/OL1141085W	The voice of the coyote	J. Frank Dobie	1949	6	5	1	dobie
/works/OL244040W	Taras Bulba	Nikolai Vasilevich Gogol	1900	6	0	6	gogol
/works/OL47269W	Red Harvest	Dashiell Hammett	1929	6	0	6	hammett
/works/OL11052070W	Le roman de Tristan	Be roul	1903	6	1	5	roul
/works/OL7016194W	The sentimental novel in America, 1789-1860	Herbert Ross Brown	1940	6	6	0	brown
/works/OL19677472W	The mothers	Vardis Fisher	1943	6	5	1	fisher
/works/OL71164W	The pilgrim's regress	C. S. Lewis	1933	6	3	3	lewis
/works/OL4924940W	The American historical novel	Ernest Erwin Leisy	1950	6	6	0	leisy
/works/OL16720344W	Rip Van Winkle	Irving, Washington	1909	6	1	5	irving
/works/OL4459885W	The American novel	Carl Van Doren	1921	6	6	0	doren
