work_id	htid_count	oclc_variants	title_htrc	date_htrc	prob80_max	englishpct_max	htids
OL38960843W	1	1	Reformed robbers	1899	0.87	0.999	nnc1.cr59919566
OL38962313W	1	1	The village watch-tower	1896	0.88	1.0	mdp.39015063928181
OL38986365W	1	1	The Cossacks	1888	0.89	1.0	nyp.33433073356499
OL38992643W	4	1	An Egyptian princess	1880	0.9	1.0	mdp.39015035933913|mdp.39015035933921|uc1.b3145625|uc1.b3145626
OL38994778W	1	1	Three children of Galilee	1896	0.73	0.999	nnc1.cr60127988
OL38998263W	1	1	The custom of the country: tales of new Japan	1902	0.88	1.0	nyp.33433076094923
OL39001480W	1	1	The child of the Ganges;	1890	0.89	1.0	yale.39002023889174
OL39008W	2	1	'Twixt land and sea	1912	0.89	1.0	mdp.39015016879820|uva.x000939353
OL3901446W	2	1	A marriage under the terror	1910	0.89	1.0	nyp.33433075767438|uc2.ark+=13960=t3bz6567s
OL39014555W	1	1	Virginia	1913	0.9	1.0	njp.32101068598570
OL39031W	1	1	The inheritors	1901	0.89	1.0	mdp.39015010763251
OL39059W	1	1	Romance	1904	0.83	1.0	nc01.ark+=13960=t28925t0h
OL39075W	2	2	A set of six	1920	0.88	0.999	mdp.39015008642657|uc2.ark+=13960=t2c82hq3b
OL39081W	3	2	The rescue	1920	0.89	1.0	uc1.b3321998|mdp.39015005010809|nyp.33433074942958
OL39084W	3	2	The arrow of gold;	1921	0.89	1.0	uc2.ark+=13960=t8nc5wm88|uc1.b3321994|uc2.ark+=13960=t1bk1dq94
OL39093W	2	2	Chance	1913	0.89	1.0	mdp.39015008040225|mdp.39015030727054
OL39096W	3	1	The mirror of the sea	1906	0.61	1.0	inu.32000005571718|loc.ark+=13960=t3cz42508|uc2.ark+=13960=t4bp00561
OL39108W	1	1	The secret agent	1907	0.87	0.996	uc2.ark+=13960=t24b3010m
OL3923323W	1	1	True love;	1903	0.88	1.0	nyp.33433074806328
OL3928049W	1	1	A daughter of the dons	1914	0.84	1.0	uc2.ark+=13960=t2w37mk24
