openlibrary_work_key	selection_title	selection_author	broad_other_total	broad_other_retained_n	sampling_mode	sample_related_n	related_rate	estimated_related_n	estimated_related_n_ci_low	estimated_related_n_ci_high	sample_primary_n	primary_rate	estimated_primary_n	estimated_primary_n_ci_low	estimated_primary_n_ci_high	sample_scholarly_n	scholarly_rate	estimated_scholarly_n	estimated_scholarly_n_ci_low	estimated_scholarly_n_ci_high	sample_pedagogical_n	pedagogical_rate	estimated_pedagogical_n	estimated_pedagogical_n_ci_low	estimated_pedagogical_n_ci_high	sample_adaptation_n	adaptation_rate	estimated_adaptation_n	estimated_adaptation_n_ci_low	estimated_adaptation_n_ci_high
/works/OL14942956W	The Call of the Wild	Jack London	43	43	all_retained	32	0.7441860465116279	32.0	32.0	32.0	19	0.4418604651162791	19.0	19.0	19.0	0	0.0	0.0	0.0	0.0	3	0.06976744186046512	3.0	3.0	3.0	10	0.23255813953488372	10.0	10.0	10.0
/works/OL109153W	Grand Babylon Hotel	Arnold Bennett	1	1	all_retained	1	1.0	1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
/works/OL1217993W	Three Soldiers	John Dos Passos	7	7	all_retained	1	0.14285714285714285	1.0	1.0	1.0	1	0.14285714285714285	1.0	1.0	1.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
/works/OL112798W	Marrow of Tradition	Mary Chesnutt	5	5	all_retained	5	1.0	5.0	5.0	5.0	5	1.0	5.0	5.0	5.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
/works/OL65437W	At Fault	Kate Chopin	29	29	all_retained	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
/works/OL38827W	The Shadow-Line	Joseph Conrad	15	15	all_retained	6	0.4	6.0	6.0	6.0	5	0.3333333333333333	5.0	5.0	5.0	1	0.06666666666666667	1.0	1.0	1.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
/works/OL505740W	The Moon and Sixpence	W Somerset Maugham	12	12	all_retained	12	1.0	12.0	12.0	12.0	11	0.9166666666666666	11.0	11.0	11.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	1	0.08333333333333333	1.0	1.0	1.0
/works/OL20172W	Kim	Rudyard Kipling	7641	100	sampled	0	0.0	0.0	2.6510044159877566e-14	282.66731979957757	0	0.0	0.0	2.6510044159877566e-14	282.66731979957757	0	0.0	0.0	2.6510044159877566e-14	282.66731979957757	0	0.0	0.0	2.6510044159877566e-14	282.66731979957757	0	0.0	0.0	2.6510044159877566e-14	282.66731979957757
/works/OL98585W	The Custom of the Country	Edith Wharton	14	14	all_retained	3	0.21428571428571427	3.0	3.0	3.0	1	0.07142857142857142	1.0	1.0	1.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	2	0.14285714285714285	2.0	2.0	2.0
/works/OL468362W	The Beautiful and the Damned	F Scott Fitzgerald	8	8	all_retained	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
