work_key	ocaid
/works/OL6922926W	issue00morggoog
/works/OL2340499W	highnoon00rogegoog
/works/OL7303094W	ayankeeschoolte01baldgoog
/works/OL1551142W	felicitasromance00dahn
/works/OL1064049W	notredame00hugogoog
/works/OL24136W	dynamiter00stev
/works/OL989306W	littlepierre00franiala
/works/OL505730W	magician00maugrich
/works/OL464288W	dollydialogues00hopeuoft
/works/OL1796786W	romanyofsnowspub00parkuoft
/works/OL7877870W	devilscradle00sidguoft
/works/OL2226869W	stjudesianmac00macluoft
/works/OL1617351W	howlingwolfhistr00chamiala
/works/OL1252617W	greencarnationno00hichrich
/works/OL7055424W	ingoldendays00lyalrich
/works/OL7854503W	lorinmooruckando00kercrich
/works/OL7008536W	galleontreasure00fitz
/works/OL96036W	socialgangstera00reevgoog
/works/OL7134584W	frenchshortstori00schwrich
/works/OL69008W	blindmansworld00bellrich
/works/OL5215833W	storiesofcharlem00churrich
/works/OL1868689W	houseboatonstyx00banguoft
/works/OL7026282W	manforagesstoryo00bachuoft
/works/OL4429633W	womanofshawmut00carpiala
/works/OL243373W	blueeyestoryofpe00mockiala
/works/OL7008561W	tomsladeboyscout00fitz
/works/OL81287W	lostgirl0000lawr
/works/OL1061661W	poweroflie00boje
/works/OL6587357W	idylsofgassmartha00wolfrich
/works/OL199328W	antonygraygarden00mooriala
/works/OL3686163W	talesfromtelling00blacuoft
/works/OL1381221W	lakemooregeo00moorrich
/works/OL3581433W	tomswifthisgreat00appl
/works/OL5130950W	panglimamuda00wildrich
/works/OL20172W	kimoxfordworldsc00rudy
/works/OL2234807W	busmanshoneymoon00doro
/works/OL1417935W	escapeonvenus0000edga
/works/OL1948600W	enidblytonstwins0000blyt
/works/OL1095411W	brontesisterswut0000bron
/works/OL15127849W	worksofrudyardki0000kipl_e2f1
/works/OL4092591W	royalescapepaper0000unse
/works/OL535535W	mrglencannonigno0000gilp
/works/OL5289607W	bluelagoon0000deve
/works/OL4126373W	withbarebodkin0000hare
/works/OL1418220W	tarzanlostempire0000edga
/works/OL52114W	1978warofworlds00well
/works/OL549648W	thisisschoolroom0000mons
/works/OL1948504W	fiverunawaytoget0000blyt_n2z9
/works/OL3477371W	bloodsong00neim_0
/works/OL471664W	cinqheuresvingtc0000chri
/works/OL1002110W	laciudadsituadas0000clar
/works/OL7572061W	conquesttruesto00dyegoog
/works/OL69014W	cu31924022004588
/works/OL85210W	chouanspassionin00balziala
/works/OL1418209W	syntheticmenofma0000burr
/works/OL121265W	adventuresofredd00burg_0
/works/OL2377155W	monsieurvenusrom0000rach
/works/OL1337086W	girlonboat0000wode_z6h6
/works/OL6711081W	morningatofficen0000mitt
/works/OL1175337W	questofholygrail0000west_r6r8
/works/OL14867077W	bwb_KS-086-671
/works/OL1171775W	therese00maur
/works/OL4882455W	cihm_74714
/works/OL7008704W	imaginaryvoyagei0000gove
/works/OL1448850W	isbn_9780151159970
/works/OL1184869W	ripeningseed0000cole
/works/OL109794W	ninabalatkalinda00trol
/works/OL82929W	asilaydyingcorre00faul_0
/works/OL262546W	roundredlampbei02doylgoog
/works/OL507379W	heartshighway00freegoog
/works/OL715624W	privatepapersofh0000giss_w6e3
