work_id	oclc	htid	recordid	locnum	author	imprint	date	place	enumcron	subjects	title	prob80precise	genrepages	totalpages	englishpct	datetype	startdate	enddate	imprintdate
OL2848257W	2580416	nyp.33433074935176	8664454		Carleton, William,	New York;Collier;1881.	1881	nyu	v. 2	Irish fiction	The works of William Carleton	0.9	685	704	1.0	s	1881.0	    	1881
OL2848257W	2580416	nyp.33433074935184	8664454		Carleton, William,	New York;Collier;1881.	1881	nyu	v. 3	Irish fiction	The works of William Carleton	0.9	812	834	1.0	s	1881.0	    	1881
OL2848257W	2580416	uiuo.ark+=13960=t14m9fz4s	8664454		Carleton, William,	New York;Collier;1881.	1881	nyu	v.1	Irish fiction	The works of William Carleton	0.9	819	850	1.0	s	1881.0	    	1881
OL2848257W	2580416	uiuo.ark+=13960=t3kw5p88g	8664454		Carleton, William,	New York;Collier;1881.	1881	nyu	v.3	Irish fiction	The works of William Carleton	0.9	799	822	1.0	s	1881.0	    	1881
OL2848257W	2580416	uiuo.ark+=13960=t5gb2cf9f	8664454		Carleton, William,	New York;Collier;1881.	1881	nyu	v.2	Irish fiction	The works of William Carleton	0.9	671	696	1.0	s	1881.0	    	1881
OL2848257W	6610392	mdp.39015030326816	622485		Carleton, William,	New York;P. F. Collier;1882.	1882	nyu	v.2		The works of William Carleton	0.84	653	686	1.0	s	1882.0	    	1882
OL2848257W	6610392	mdp.39015030326832	622485		Carleton, William,	New York;P. F. Collier;1882.	1882	nyu	v.1		The works of William Carleton	0.85	825	854	1.0	s	1882.0	    	1882
OL2848257W	6610392	nyp.33433074935168	622485		Carleton, William,	New York;P. F. Collier;1882.	1882	nyu	v. 2		The works of William Carleton	0.84	653	700	1.0	s	1882.0	    	1882
OL2848257W	6610392	uc2.ark+=13960=t5cc1918s	622485		Carleton, William,	New York;P. F. Collier;1882.	1882	nyu	v.2		The works of William Carleton	0.84	630	656	1.0	s	1882.0	    	1882
OL2848257W	6610392	uc2.ark+=13960=t9z03dq6c	622485		Carleton, William,	New York;P. F. Collier;1882.	1882	nyu	v.1		The works of William Carleton	0.85	769	792	1.0	s	1882.0	    	1882
OL2848257W	6610392	uva.x030576776	622485		Carleton, William,	New York;P. F. Collier;1882.	1882	nyu	v.2		The works of William Carleton	0.84	657	702	1.0	s	1882.0	    	1882
OL2848257W	6610392	uva.x030576777	622485		Carleton, William,	New York;P. F. Collier;1882.	1882	nyu	v.3		The works of William Carleton	0.83	763	830	1.0	s	1882.0	    	1882
OL28570037W	23471815	nyp.33433008281192	8594858		Grahame, Kenneth,	New York;C. Scribner's Sons;1916 [c1913	1913	nyu		IsBiographical;Biography;Folklore;Anecdotes;Animals;Fiction;Juvenile fiction	The wind in the willows	0.88	364	396	1.0	t	1916.0	1913	1916
OL28570037W	305520	mdp.39015008859509	434930	PZ3.G7626W	Grahame, Kenneth,	New York;C. Scribner's sons;1908.	1908	nyu		Animals;Juvenile fiction	The wind in the willows	0.89	302	324	1.0	s	1908.0	    	1908
OL28570037W	305520	nyp.33433074864111	434930	PZ3.G7626W	Grahame, Kenneth,	New York;C. Scribner's sons;1908.	1908	nyu		Animals;Juvenile fiction	The wind in the willows	0.89	303	322	1.0	s	1908.0	    	1908
OL28612W	3333134	mdp.39015031233243	1375582	PZ3.D8525Q	Du Bois, W. E. B.	Chicago;A. C. McClurg & co.;1911.	1911	ilu			The quest of the silver fleece;	0.84	425	450	1.0	s	1911.0	    	1911
OL2871334W	6505481	nyp.33433074874664	6534237	PS3523.E89C45 1916	Lewis, Miles.	New York;George H. Doran Company;1916.	1916	nyu			Chapel	0.89	344	360	1.0	s	1916.0	    	1916
OL288720W	1903110	mdp.39015014280161	1224827		Gorky, Maksim,	New York;J.F. Taylor & Company;1902.	1902	nyu			Twenty-six and one	0.78	208	252	1.0	s	1902.0	    	1902
OL288720W	254497	mdp.39015003535609	1353585		Gorky, Maksim,	New York;F.A. Stokes company;1915.	1915	nyu			Twenty-six men and a girl, and other stories	0.8	194	225	1.0	s	1915.0	    	1915
OL288765W	1001901	mdp.39015028028788	1224829		Gorky, Maksim,	New York;C. Scribner's sons;1901.	1901	nyu			Fomá Gordyéeff	0.83	444	478	1.0	s	1901.0	    	1901
OL288765W	1001901	nyp.33433067272322	1224829		Gorky, Maksim,	New York;C. Scribner's sons;1901.	1901	nyu			Fomá Gordyéeff	0.83	445	478	1.0	s	1901.0	    	1901
OL288846W	12364546	uc1.b4082504	6147785		Gorky, Maksim,	New York;London;D. Appleton and company;1920.	1920	nyu	copy 2		Mother	0.85	496	510	1.0	s	1920.0	    	1920
OL288846W	12364546	uc2.ark+=13960=t8df6x103	6147785		Gorky, Maksim,	New York;London;D. Appleton and company;1920.	1920	nyu			Mother	0.85	497	510	1.0	s	1920.0	    	1920
OL288846W	1967772	nyp.33433067272074	8634054	PZ3.G678Mo	Gorky, Maksim,	New York;D. Appleton and company;1907.	1907	nyu			Mother	0.84	507	536	1.0	s	1907.0	    	1907
OL288846W	1967772	uiuo.ark+=13960=t84j0fb8g	8634054	PZ3.G678Mo	Gorky, Maksim,	New York;D. Appleton and company;1907.	1907	nyu			Mother	0.76	84	104	0.987	s	1907.0	    	1907
OL288933W	1377498	uc2.ark+=13960=t1vd6w348	7688300		Gorky, Maksim,	New York;J. S. Ogilvie;c1901	1901	xx 			Foma Gordeyev	0.83	427	462	1.0	 	1901.0	    	1901
OL288933W	27372320	uc1.b4087032	6149387		Gorky, Maksim,	New York;C. Scribner's Sons;1906, c1901.	1906	nyu			Foma Gordyeeff	0.89	443	472	1.0	c	1906.0	1901	1906
OL288933W	27372320	uc2.ark+=13960=t49p36v3v	6149387		Gorky, Maksim,	New York;C. Scribner's Sons;1906, c1901.	1906	nyu			Foma Gordyeeff	0.89	443	470	1.0	c	1906.0	1901	1906
OL288958W	2162944	mdp.39015028011206	1224821	PZ3.G678Ou	Gorky, Maksim,	London;T. F. Unwin;1905.	1905	enk	cop.2		The outcasts, and other stories	0.81	149	168	1.0	s	1905.0	    	1905
OL288958W	2162944	nyp.33433067272298	1224821	PZ3.G678Ou	Gorky, Maksim,	London;T. F. Unwin;1905.	1905	enk			The outcasts, and other stories	0.79	149	176	1.0	s	1905.0	    	1905
OL288958W	2162944	uc1.32106001601159	1224821	PZ3.G678Ou	Gorky, Maksim,	London;T. F. Unwin;1905.	1905	enk			The outcasts, and other stories	0.8	147	168	1.0	s	1905.0	    	1905
OL288997W	5737982	mdp.39015004142223	980889		Gorky, Maksim,	New York;C. Scribner's Sons;1901.	1901	nyu			Orlóff and his wife;	0.89	480	507	1.0	s	1901.0	    	1901
OL288997W	5737982	mdp.49015000495615	4431624	PZ3.G678Or 15	Gorky, Maksim,	New York;C. Scribner's sons;1901.	1901	nyu			Orlóff and his wife;	0.84	480	508	1.0	s	1901.0	    	1901
OL288997W	5737982	nyp.33433067272306	980889		Gorky, Maksim,	New York;C. Scribner's Sons;1901.	1901	nyu			Orlóff and his wife;	0.89	483	508	1.0	s	1901.0	    	1901
OL289005W	2940633	mdp.39015011802249	1224818	PZ3.G678St	Gorky, Maksim,	Boston;The Stratford company;1918.	1918	xx 			Stories of the steppe	0.72	51	70	1.0	s	1918.0	    	1918
OL289005W	2940633	uc1.$b662157	1224818	PZ3.G678St	Gorky, Maksim,	Boston;The Stratford company;1918.	1918	xx 			Stories of the steppe	0.69	51	76	1.0	s	1918.0	    	1918
OL289005W	2940633	uc2.ark+=13960=t89g5q54c	1224818	PZ3.G678St	Gorky, Maksim,	Boston;The Stratford company;1918.	1918	xx 			Stories of the steppe	0.72	51	70	0.998	s	1918.0	    	1918
OL2895523W	21432655	uc1.b3324575	6131038		Le Fanu, Joseph Sheridan,	London;Downey;1894?	1894	enk			The watcher and other weird stories	0.88	273	300	1.0	s	1894.0	    	1894
OL2895523W	21432655	uc2.ark+=13960=t6k075m3z	6131038		Le Fanu, Joseph Sheridan,	London;Downey;1894?	1894	enk			The watcher and other weird stories	0.88	273	300	0.999	s	1894.0	    	1894
